course_code,title,terms_offered,credits,terms_credits_raw,offering_notes,signature_program,signature_program_required,section_blurb,full_description,bleed_removed
EN418,IMAGINED FUTURES AND ALTERNATE REALITIES: THE LITERATURES OF TOMORROW,All terms,1,All terms; 1 course credit,,,False,,"What will the future look like? How can literature be used as a tool to better understand the present and to discuss the futures people want, and, of course, futures people do not want? Writers, filmmakers, and other artists have tackled these questions in such diverse forms as novels, poetry, independent shorts, and blockbuster franchises, to interrogate contemporary socio- political realities by presenting future possibilities. In this course, students will read science fiction, Afrofuturism, Indigenous futurism, and dystopian literatures to explore the trajectory from the past to our present, and on to potential futures. Students might examine works by Omar El Akkad, Nnedi Okorafor, Cherie Dimaline, Bong Joon-ho, N.K. Jemisin, and Boots Riley to understand ways that manifestations of oppressions intersect. Additionally, works like Black Panther, The Handmaid’s Tale, and Kafka on the Shore may be examined to see the ways writers imagine possibilities for resistance across marginalized communities.",
EN419,THE END OF NATURE: GLOBAL LITERATURES OF ENVIRONMENTAL JUSTICE,"Winter, Spring terms",1,"Winter, Spring terms; 1 course credit",,,False,,"This course introduces students to the global landscape of contemporary environmental justice literature, a landscape that revises our understanding of environmentalism, so that it includes both national parks and nuclear waste sites, scenic rivers and mega-dams, industrialized food production and multi- species health. A variety of environmental justice texts — in the form of novels, poems, plays, memoirs, comics, films, and other media —provide students with examples of individuals and communities responding to environmental problems. Such texts reveal how environmental issues are deeply entwined with issues of power and privilege in the context of globalization, sexuality, ability, gender, class, and race. Literary texts might include works by Amitay Ghosh, Ruth Ozeki, Drew Lanham, and Wangari Maathai, while media could include films such as Beasts of the Southern Wild and Flint. Students will have opportunities both to analyze these texts and to research and craft their own environmental justice narratives. This course fulfills the requirement in contemporary global studies. “IS THIS THE REAL LIFE?”: MODERN AND",
EN436,CONTEMPORARY DRAMA,Spring term,1,Spring term; 1 course credit,,,False,,"In The Empty Space, Peter Brook writes, “A stage space has two rules. One-Anything can happen. Two-Something must happen.” In the most important plays of the last 150 years, playwrights have played with both of these ideas, with dizzying variety and thought-provoking works that question what a play is and can be. From philosophical investigations of the nature of reality to the social and political issues of yesterday and today, these plays challenge, amuse, frighten, and inspire readers, actors, and viewers. Samuel Beckett’s Waiting for Godot, Eugene Ionesco’s The Bald Soprano, and Tony Kushner’s Angels in America are among the core texts we will look at. Playwrights like Henrik Ibsen, Alfred Jarry, Luigi Pirandello, Suzin Lori Parks, Harold Pinter, and Sarah DeLappe are often also included, as well as readings of plays leading right up to our own decade.",
EN441,READING AND WRITING SHORT FICTION,All terms,1,All terms; 1 course credit,,,False,,"This course is designed for students who have an interest in the reading and writing of short fiction. Students will study, discuss, and write about various works of fiction as well as compose their own original work. Students will study theories of writing, read examples of various types of short fiction by published authors, and offer their own writing for examination and discussion by the class. Students will be encouraged to experiment with different styles while also working on strengthening their own creative voices. This class is intended primarily for students who are new to creative writing, though experienced creative writers are welcomed.",
EN445,PICTURE THIS: READING AND WRITING THE GRAPHIC NARRATIVE,All terms,1,All terms; 1 course credit,,,False,,"From the cave paintings in Lascaux and the development of pictographic alphabets, to the most recent refresh of your social media feed, people have always told stories making use of both image and text. With a particular focus on texts from the late- 20th and early-21st century, this course will provide students (especially those who do not consider themselves artists!) an opportunity to experiment with storytelling and argument- making using a combination of image and text. The framework for these essays will be established by critical texts by authors such as Scott McCloud’s Understanding Comics and Lynda Barry’s Making Comics. Supplemental texts by authors like Zeina Abiriched, Alison Bechdel, Roz Chast, Mira Jacobs, Richard McGuire, and Art Spiegelman will vary, depending on teacher and student choice, and will provide students with models and inspiration for their work. Students will be given the opportunity to write creative and analytical texts, both in written and graphic forms. THE HORROR!: HORROR AS SOCIAL JUSTICE",
EN476,"POWER, NARRATIVE, AND THE SELF: LITERATURE AND AMERICAN IDENTITY",All terms,1,All terms; 1 course credit,,,False,,"This course provides students the opportunity to consider and explore the varied notions of American identity through the diverse contemporary literary landscape. Students read a range of authors whose works investigate the relationship between literature, culture, and American identities. The course considers the historical, political, and cultural influences that have shaped how America is depicted, as well as the role of the narrative in the construction and representation of national, group, and personal identities. This course grapples with such questions as: What are the differences and similarities expressed in these identities? What do those similarities and differences indicate about the authors, their experiences, and America as a whole? Authors studied may include Alvarez, Bechdel, Coates, Diaz, Eugenides, Hong Kingston, Lahiri, Morrison, and others based on the interests of both the students and teacher.",
EN480,THE MODERN SPIRIT: THE LITERATURE AND CULTURE OF THE WESTERN WORLD FROM THE ROMANTIC REVOLUTION THROUGH THE AGE OF ANXIETY,Year,3,Year; 3 course credits,,,False,,"Beginning with the Romantic revolt against the Enlightenment in the late 18th to mid-19th centuries in Europe, continuing with the advent of realism and Modernism’s “shock of the new” in the late 19th and early 20th centuries, and ending with the “Age of Anxiety” of the post-World War II American era, this year-long humanities course investigates the great cultural revolutions in Europe and the United States of the past 200 plus years. Each term, students will explore the zeitgeist — the spirit of each age — through some characteristic works of literature, art, music, film, philosophy, and social theory with the goal of coming to a deeper understanding of the modern sensibility. Literary works will include such novels as Swift’s Gulliver’s Travels, Goethe’s The Sorrows of Young Werther, Shelley’s Frankenstein, Bronte’s Wuthering Heights, West’s The Return of the Private, Gide’s The Immoralist, and Kafka’s The Metamorphosis; lyric poetry of the Romantic and Modernist periods; plays such as Ibsen’s A Doll’s House and Sartre’s No Exit; films such as Battleship Potemkin, The Cabinet of Dr. Caligari, Modern Times, The Triumph of the Will, and Dr. Strangelove; musical works from composers such as Beethoven, Chopin, Debussy, Stravinsky, Miles Davis, Joni Mitchell, and Bob Dylan; philosophical works from such thinkers as Nietzsche and Freud; and art from such movements as Romanticism, Impressionism, Cubism, Expressionism, Post Expressionism, and Pop Art.",
EN484,NOT MY TYPE: UNLIKE-ABLE FEMALE CHARACTERS,Year,3,Year; 3 course credits,,,False,,"Literary history and popular culture are full of unpalatable women: Clytemnestra the traitorous wife, Shakespeare’s Katherina the unmarriable spitfire, and Wharton’s Undine the mercenary social climber, to name a few. Audiences cheer as these women are tamed, tamped down, or otherwise punished, especially when the characters are viewed reinforcing stereotypes like the man-hating shrew or catty mean girl. Significantly, though, these characters draw ire not just for wreaking narrative havoc but also for breaking a social taboo deeply ingrained in Western culture: that women should be “like- able.” The “mother earth” figure is, by definition, nurturing, supportive, and often sacrificial. In contrast, archetypes like the “crone” or “witch” are villainized for their age, skill, and appearance. While stereotypical representations of “unlikeable” female characters reflect broader conversations about the roles of women and womanhood, writers have also taken up these archetypes to offer complex representations of women beyond like-ability. When viewed through this lens, these characters offer insights into how pressures to be “like-able” are linking to issues of personal choice, politics, and power. This course will explore literary and artistic reactions to feminist progress via “unlike-able” female archetypes. We will examine changes in representation and, by extension, cultural understandings of womanhood over time as well as investigate the roles of race, class, sexuality, and (dis)ability.",
EN485,THE EMPIRE WRITES BACK: POSTCOLONIAL LITERATURE,Year,3,Year; 3 course credits,,,False,,"Clashes in Gaza, the dismantling of statues in South Africa and the American South, and an Indian writer winning England’s most prestigious literary prize, the Booker of Bookers, reveal the lingering impact of colonial histories. Retribution, reconciliation, violence, and magical reality shape both the postcolonial world and its literature. After centuries of foreign rule, writers from former European colonies across Africa, Asia, and the Americas have written back to their own people and their colonizers. This body of work represents one of the most significant developments in global literature since the mid-20th century. In this course, students study the vast and diverse topics associated with the creation and eventual disintegration of the colonial projects of Europe. Multidisciplinary in approach, students examine literature, history, film, philosophy, theory, oral history, and art. This course explores the inspiration, justification, and manifestation of colonization as well as the resistance to this project. Students develop familiarity with theoretical terms and concepts and employ them to understand the tension reflected in the works studied, and to gain insight into the lasting effects for the contemporary global landscape. Writers studied may include Jamaica Kincaid (Antigua), Amié Césaire (Martinique), Salman Rushdie (India), Nadine Gordimer (South Africa), and Toni Morrison (U.S.), among others. This course fulfills the requirement in contemporary global studies.",
EN486,JOURNALISM AND NONFICTION STORYTELLING,Year,3,Year; 3 course credits,,,False,,"Nonfiction storytelling, whether it is daily journalism, long-form magazine writing, personal essays, opinion pieces, radio broadcasts, or another variety, is invariably based in fact. The creator is circumscribed by what happened, and yet these works can be as gripping and nuanced as any work of fiction. Unlike a novelist, a nonfiction storyteller cannot invent a character or fabricate a cliff-hanging plot twist. Like a novelist, a nonfiction storyteller is free to experiment with form, detail, diction, syntax, metaphor, and the like. Understanding this dynamic is key to the work of this course. Students study the foundational elements of a fact-based story. What makes such a story compelling, provocative, or simply, fun? How does one go about uncovering and relaying such a narrative? How can elements like rhetoric, structure, and data enhance a story? How can stories change the world? Students analyze short and long nonfiction, both contemporary and canonical, and work individually and collaboratively on storytelling projects that address current issues. They engage in a diversity of narrative forms — the written word, comics, infographics, podcasts, photojournalism, and video — and study a group of writers that likely includes James Baldwin, Joan Didion, Ian Frazier, Janet Malcolm, John McPhee, Dorothy Parker, David Foster Wallace, Tom Wolfe, and others. Students share their work with their classmates regularly, providing and receiving appropriate feedback. WRITING WORKSHOP COURSES Writing workshops focus on the creation of original writing by each student and the regular exchange of feedback regarding that work among the participants in the class. While these classes may study short stories, novels, and poems by a variety of authors as examples and ideals of craft, the original writing created by each of the students serves as the primary text studied and discussed in class. Note: Unless otherwise indicated, the writing workshop courses do not fulfill the English department diploma requirements.",
EN490,"TWO-TERM ELECTIVE ADVANCED CREATIVE WRITING: LITERATURE, PROCESS, AND CRAFT",Fall and Winter terms,2,Fall and Winter terms; 2 course credits,,,False,,"This course offers students who have experience with creative writing the opportunity to craft a substantial body of writing while gaining experience in the demands and rewards of the writing process. The course begins with the exploration of and experimentation with genre, as students identify, explore, and present specific types of writing they would like to share with their peers. Genres may include but are not limited to slam/spoken word poetry, stream of consciousness, flash fiction, rhymed and metered poetry, dramatic monologues, short dramatic scenes, and personal essays. The workshop is the heart of the class: students are regularly required to read their work aloud and have their work critiqued in a structured, formal, and productive fashion. Students not only periodically lead workshops on their peers’ manuscripts, but are also expected to edit, comment upon, and offer suggestions for improvement in every session. Students devote the last weeks of the fall and all of the winter term to composing and revising their final project. Students will devise, plan, and work steadily on completing a portfolio of revised and polished writing that has incorporated the feedback received in the workshop. The portfolio may include short stories, a chapbook of poems, a novella, a play, or a combination of multiple genres. Students consult the instructor regarding their individual plans, but the final choice of what will be included in the portfolio is theirs. Throughout the course, students are encouraged to submit their work to publications, both on campus and beyond. The course culminates in a public reading in which students share portions of their work. Prerequisite: Open to students who have successfully completed EN501, TA270, EN408, EN441, EN445, or who have earned departmental approval by submitting a sample of original creative work to the English department head. The year-long courses offer students the opportunity to engage in a sustained and multidisciplinary study of a thematically cohesive topic. Students who are English enthusiasts are welcomed to concurrently enroll in single-term electives while taking a year-long course, but a single-term elective may not replace one of the terms of the year-long course.",
EN501,INTRODUCTION TO CREATIVE WRITING,Spring term,1,Spring term; 1 course credit,,,False,,"This term elective, for third and fourth formers, explores a variety of genres and introduces students to the craft of writing imaginative prose and poetry. Students are asked to examine the literature from the writer’s perspective and to compose their own original poems, scenes, and stories, incorporating the ideas and themes inspired by the texts. The class is frequently run as a workshop with students sharing and critiquing each other’s work. The exact nature of this course and the texts studied in any given term will be shaped by the interests and inclinations of the students and instructor. Open to third and fourth formers.",
ES220,GLOBAL SCIENTIFIC ISSUES: SEARCHING FOR SOLUTIONS,All terms,1,All terms; 1 course credit,,,False,,"This course examines various scientific problems confronting the human species on our fragile planet and looks at ideas for combating them. What sources of energy will best serve humankind in the future while doing the least harm? How can we best employ water, for personal use and irrigation, without leading to health problems and soil degradation? What are the causes and effects of global warming, and how can the earth’s temperatures be stabilized? What measures have proven effective, and what innovations may be employed in the future, in controlling AIDS, malaria and pandemics? How will the growing populations of the world obtain adequate nutrition and shelter? These questions call upon students to consider various viewpoints as they seek ways to achieve sustainability for the human species. The course includes oral presentations or debates as well as writing and assessments. Open to third and fourth formers. This course fulfills the requirement in contemporary global studies. THE GEOLOGY SEQUENCE The Geology Sequence introduces students to the dynamic processes and materials that are involved in the formation and ongoing remodeling of our planet. These courses may be taken as a year-long sequence or individually as term electives. They are not required to be taken in sequential order.",
ES310,THE DYNAMIC EARTH,Fall term,1,Fall term; 1 course credit,,,False,,This course examines the structures of the Earth and the mechanisms by which our planet evolves. Plate tectonics and the heat engine that is the earth’s core are explored. Students also study earthquakes and volcanoes to understand these processes and their effects on our planet and on the human population. Open to all students.,
ES320,THE EARTH’S MATERIALS,Winter term,1,Winter term; 1 course credit,,,False,,"Minerals, rock types (igneous, sedimentary, metamorphic), and the rock cycle are studied in this course. Students examine the valuable geologic resources (fossil fuels, gems, precious metals) required by humans and look at the global impact of the exploitation of those resources. Open to all students.",
ES330,THE EARTH’S LANDSCAPES,Spring term,1,Spring term; 1 course credit,,,False,,"Students explore the geologic processes that have given rise to the physical geography of the planet’s surface, answering the question, “Why does the Earth look as it does?” Mountain belts, the ocean floor, and glaciers are studied as dynamic processes at work on the Earth’s surface. Open to all students.",
ES437HO,"ECOLOGY: PRINCIPLES, MODELING, STATISTICS, AND APPLICATIONS, HONORS",Year,3,Year; 3 course credits,,KEC Environmental Immersion Program (EIP),True,,"Interactions of individual organisms, populations, and communities with their environment are examined in this course. Students study the natural history of the organisms in the ecosystem surrounding the Kohler Environmental Center. Ecological principles are explored by conducting experiments on the land and in the research greenhouse, as well as by studying and developing mathematical models. Students test hypotheses by using statistical techniques to analyze data collected from individual experiments and long-term studies. Articles from professional publications in ecology are explored to introduce students to current research questions and methods. Students are given the opportunity to apply their knowledge by helping to shape land management decisions. This course earns one quantitative credit.",
ES460AD,MARINE SCIENCE,All terms,1,All terms; 1 course credit,,,False,,"Approximately 70% of earth is covered by water, and yet we know more about outer space than we do about what lies beneath the water’s surface. This course discusses the myriad ecosystems of the ocean and how ocean systems play a significant role in regulating the atmosphere of our planet. The course applies a variety of scientific disciplines — chemistry, physics, biology, geography, and others — to better understand the complexities of marine environments around the world. Through the study of both marine ecosystems and of specific marine organisms, students will improve their scientific literacy and better understand how field-research is conducted. Required laboratory work includes hands-on dissection of select marine species. Additionally, students will be challenged to improve their media literacy skills to identify scientific facts from subjective narratives. The course is open to fifth and sixth form students who have completed at least one year of a laboratory science.",
ES550HO,"ENVIRONMENTAL SCIENCE, HONORS",Fall and Winter terms,2,Fall and Winter terms; 2 course credits,,,False,,"This two-term course introduces the scientific principles underlying environmental processes, and students develop the analytical skills required to evaluate various forms of evidence in environmental study. Because appreciating environmental issues requires synthesizing scientific and social perspectives, this course provides a background in Earth’s biological, geological, and chemical systems, and it explores major environmental issues from historical, political, economic, and ethical viewpoints in local, national, and global contexts. Major course topics include population biology, biome ecology, energy flow and geochemical cycles, climate, pollution, biodiversity, and resource use. A variety of resources will be used, including journal articles, relevant magazine and news sources, films, and internet resources. Open to fifth and sixth formers who have completed (or are currently enrolled in) one year of chemistry and one year of biology, or who have the permission of the department. This course fulfills the requirement in contemporary global studies.",
ES555HO,"ADVANCED TOPICS IN ENVIRONMENTAL SCIENCE, HONORS",Spring term,1,Spring term; 1 course credit,,,False,,"This course allows students to delve deeply into the study of select major environmental issues begun in ES550HO. Topics may include global warming, recycling of materials, air pollution, drinking water, and various environmental toxins. Supplementing classwork are field studies and laboratory experiments that emphasize a hands-on, interdisciplinary approach to environmental assessment. Experiencing and understanding the plant and animal life common to New England fields and forests, students spend much of the spring also studying the re- emergence of life near Choate’s campus. Open to students who have completed ES550HO or who have the permission of the department.",
FR100,FIRST YEAR FRENCH,Year,3,Year; 3 course credits,,,False,,"This introductory course explores the French language with an emphasis on the many cultures in which French plays an important role today. Classes are taught primarily in the target language, using contextual cues, cognates, and interpersonal communication to foster comprehension of formal and simple idiomatic French. Interpretive, interpersonal, and presentational skills are developed using short stories, poetry, dialogues, presentations on autobiographical and cultural topics, expository texts pertaining to the Francophone experience, and audiovisual sources created by native speakers from around the world. Students use a digital textbook and online resources to learn authentic, practical, and easily accessible structures and vocabulary. In the spring term, students read a short French novel designed for their level. Open to students with no previous background in French.",
FR125,ELEMENTARY FRENCH,Year,3,Year; 3 course credits,,,False,,"This course is designed to help students with some previous experience in French improve their comprehension and application of the language. Though First Year French and Elementary French (FR100 and FR125) follow the same base curriculum and methodology, speaking, listening, reading, and writing may be covered in greater depth in this accelerated course. Open to students with the permission of the department.",
FR200,SECOND YEAR FRENCH,Year,3,Year; 3 course credits,,,False,,"Exploration of cultural and historical differences within the French-speaking world continues, along with development and reinforcement of interpersonal, interpretive, and presentational proficiency, with emphasis on expanding vocabulary, verb tenses, and use of pronouns. Simple compositions, presentations, dialogues, independent research, poetry, film clips, music videos, and creative projects reinforce the material and enhance students’ idiomatic fluency. Francophone cultures are integrated into the course using a digital textbook and online resources that include interactive videos and audio materials stressing modern communication that is both accurate and colloquial. Open to students who have completed the 100 level or its equivalent.",
FR250HO,"SECOND YEAR FRENCH, HONORS",Year,3,Year; 3 course credits,,,False,,"This is an honors course in grammar, reading, composition, and conversation whose base curriculum covers what is achieved in FR200 but in greater depth and at a brisker pace. Because of the rigor expected in the course, student progress is monitored closely in the fall term to assess appropriate placement. Open to students who have distinguished themselves at the 100 level or its equivalent and have the permission of the department.",
FR300,THIRD YEAR FRENCH,Year,3,Year; 3 course credits,,,False,,"Language skills and cultural appreciation acquired in the first two years are reinforced and extended through review, conversation, presentations, expository and analytical writing, films, music, and readings of short texts, poetry, and at least one full-length work. Students use a digital textbook and online resources to anchor learning in a cultural context, with a focus on interpersonal, interpretive, and presentational proficiency and real-world application. The curriculum in FR300 is designed to provide students with solid cultural knowledge and communicative skills to facilitate the transition to upper-level courses. Open to students who have completed the 200 level or its equivalent.",
FR350HO,"THIRD YEAR FRENCH, HONORS",Year,3,Year; 3 course credits,,,False,,"Extensive grammar review, consideration of unabridged literary works with accompanying films, expository and analytical writing, and in-class discussions together constitute the core of this honors course, whose base curriculum covers at least what is achieved in FR300, but in greater depth and at a brisker pace. Because of the rigor expected in the course and the level of discourse encountered in the material, student progress is monitored closely in the fall term to assess appropriate placement. Open to students who have distinguished themselves at the 200 level or its equivalent and have the permission of the department. FOURTH YEAR FRENCH: FRENCH IN A GLOBAL CONTEXT In addition to intensive grammar review, this sequence explores the literature, art, history, politics, film, and culture of several countries in the French-speaking world. The sequence is aimed at teaching a globally informed perspective of French roles in current world realities. It allows for a greater understanding of concepts of identity, empathy, and cultural diplomacy, while reviewing grammar and improving the sophistication of students’ understanding and expression. These courses may be taken as a year-long sequence or individually as term electives. They are not required to be taken in sequential order. Each course fulfills the requirement in contemporary global studies. FRANCOPHONE IDENTITIES IN CANADA AND THE U.S.",
FR405AD,FRENCH COLONIALISM: FEATURES AND IMPACT,Winter term,1,Winter term; 1 course credit,,,False,,"In the winter term, students explore the features and impact of French colonialism in a variety of contexts, focusing primarily on the North African countries of Le Maghreb and the 1940s Indochina. Through the exploration of films and texts, students consider the intersection of identities for families influenced by both French culture and language, and their own indigenous cultures. Projects give students the chance to showcase their understanding of these complexities, and the role their own identities play in their interpretation of the situations studied. Open to students who have completed the 300 level or its equivalent.",
FR406AD,WEST AFRICAN AND CARIBBEAN LITERATURE,Spring term,1,Spring term; 1 course credit,,,False,,"In the spring term, the class focuses on West African and Caribbean literature and film to guide the study of ideas and philosophies of the Negritude movement, an important intellectual and political movement that helped give rise to independence struggles in Africa and the Caribbean, as well as the United States. Students write poetry and short stories to demonstrate their increased capabilities in the language and to showcase their creativity and application of lesson material to their personal work. Open to students who have completed the 300 level or its equivalent. FOURTH YEAR FRENCH, HONORS: FRENCH LITERATURE This sequence of honors courses introduces students to various genres of literature (poetry, prose, theater, and essays) organized by theme. Students develop active vocabulary through intensive reading, while continuing the exploration of the Francophone world through the critical examination of its evolving literature (who writes what, when, and why?). Excerpts from significant texts across the centuries are explored. Personal essays, class discussions, collaborative projects and textual analysis allow students to consider contemporary issues in Francophone countries and their own, and help students develop their interpersonal, interpretive, and presentational skills. Each term features a major project and, if time permits, the study of a movie (or excerpts thereof) corresponding to the term’s theme. Art and music, as well as cultural realia related to the studied theme complement students’ inquiry. These courses may be taken as a year-long sequence or individually as term electives. They are not required to be taken in sequential order. Each course fulfills the requirement in contemporary global studies.",
FR451HO,"IDENTITY, FAMILY, AND COMMUNITY, HONORS",Fall term,1,Fall term; 1 course credit,,,False,,"In the fall, students study works focusing on identity, tolerance, the rights of man, and a critical look at one’s place in society. Authors studied may include Montesquieu, de Duras, Sand, Zola, Senghor, de Rochefort, Cardinal, Begag, Miano, and Diome. Films studied may include La Tête en Friche (Becker), Belle (Asante), Deux jours, une nuit (Dardenne), Swagger (Babinet), Visages Villages (Varda). Open to students who have distinguished themselves at the 300 level or its equivalent and have the permission of the department.",
FR452HO,"VOYAGES OF DISCOVERY, HONORS",Winter term,1,Winter term; 1 course credit,,,False,,"In the winter, students discuss literal and metaphorical journeys as they compare the societies reflected in works by Francophone authors. Authors studied may include du Bellay, Marivaux, Voltaire, Verne, Césaire, Le Clézio, Diome, Miano, Thúy, and de la Chenelière. Films studied may include Indochine (Warnier), Ridicule (Leconte), Le Gone du Chaâba (Ruggia), Monsieur Lazhar (Falardeau), and La Vache (Hamidi). Open to students who have distinguished themselves at the 300 level or its equivalent and have the permission of the department.",
FR453HO,"CONFLICTS AND PEACE, HONORS",Spring term,1,Spring term; 1 course credit,,,False,,"In the spring, students discuss new themes of language, religion, nationalism, and patrimony as elements of personal and national identity during times of war and peace. Authors studied may include Voltaire, Giraudoux, Vercors, Eluard, and Faye. Films studied may include Joyeux Noël (Carion) and Le Tout Nouveau Testament (Van Dormael). Open to students who have distinguished themselves at the 300 level or its equivalent and have the permission of the department. THE FRANCOPHONE PRESS In this sequence, students examine current events and explore the ways in which they are relayed to various audiences in the printed press, audiovisual media, and social media. Students explore international and local French-language news stories, documentaries from various sources, and events that have been instigated or influenced by the media. The goal of this course is to foster critical thought in the production and analysis of news stories regarding political and social change, building on their existing interpretative skills. In each course, students will strive to produce a journalistic pathway (e.g., blog, podcast, documentary, talk show, social media site), in which they will showcase their newly acquired journalistic lexicon and skills to relate news, craft a story, and influence opinion through a variety of journalistic mediums, honing their presentational writing and speaking skills. Open to students who have completed the 400 level or its equivalent. These courses may be taken as a year-long sequence or individually as term electives. They are not required to be taken in sequential order. Each course fulfills the requirement in contemporary global studies.",
FR514AD,PRINT PERSPECTIVES,Fall term,1,Fall term; 1 course credit,,,False,,"Dive into the world of written journalism! From the pages of newspapers and magazines to the creative realm of zines, students will explore how news is crafted, presented, and interpreted. Analyze French-language reporting on international and local stories while building a foundation in journalistic writing. This term emphasizes critical thinking about the impact of print media on political and social change.",
FR515AD,BROADCASTING THE NEWS,Winter term,1,Winter term; 1 course credit,,,False,,"Lights, camera, action! This term takes students into the dynamic realm of audiovisual media. Examine French-language televised newscasts, podcasts, and radio programming to discover how stories are shaped for audio and visual audiences. Students will critique media coverage of current events and experiment with creating their own audio-visual journalistic projects.",
FR516AD,THE SOCIAL MEDIA REVOLUTION,Spring term,1,Spring term; 1 course credit,,,False,,"Welcome to the digital age! This term focuses on the power of social media platforms like TikTok, Instagram, and X in shaping how people consume and interact with news. Students will analyze the impact of algorithms on information flow and public opinion, while crafting their own social media campaigns to inform and influence audiences in real-time. ADVANCED FRENCH LANGUAGE AND CULTURE, HONORS This sequence of courses prepares students with a strong background in French to extend their skills beyond the classroom and into real world contexts. Authentic materials (nonfiction, fiction, print, audio, audio-visual, and social media) help students decipher semantic registers and nuance while building a strong linguistic skill set. Focusing on three modes of communication — interpersonal, interpretive, and presentational — the courses accentuate cultural competency through comparison of practices, products, and perspectives. Linguistic accuracy, topical vocabulary, and personal creativity are honed as students tackle themes through individual and collaborative research, presentation, conversation, debate, creative writing (dialogue, correspondence, prose, news articles, etc.), and analytical compositions. These courses may be taken as a year-long sequence or individually as term electives. They are not required to be taken in sequential order. Each course fulfills the requirement in contemporary global studies.",
FR551HO,"FAMILY AND COMMUNITY, HONORS",Fall term,1,Fall term; 1 course credit,,,False,,"This course focuses on two major themes: families and communities, and contemporary life. Students compare family and community systems, values, and dynamics across the Francophone world, focusing on education, adolescent issues, relationships, and social structures. Contemporary life issues include rites of passage, cultural trends, marketing, popular sports, and leisure activities. Authors may include Françoise Dolto, Amadou Hampâté Bâ, Philippe Labro, and Françoise Sagan. Students identify challenges in various communities, devising and promoting social movements in response. The course seeks to promote a better understanding of education, privilege, value systems, and social responsibility. Open to students who have distinguished themselves at the 400 level and have the permission of the department.",
FR552HO,"THE SELF AND THE OTHER, HONORS",Winter term,1,Winter term; 1 course credit,,,False,,"This course examines questions of personal and public identity and global contemporary issues. Students explore dynamics of linguistic, cultural, and national identities around the Francophone world, striving to deepen their understanding of the self and the other. The course delves into the history of human rights, questions of conflict and resolution, and tolerance of differences. From the Ancien Régime to the United Nations and the Hague, students develop an understanding of evolving rights and protections, as well as systems promoting inequality and social tensions. Students examine armed conflict in recent history and cultivate a deeper appreciation for diversity in identity. Open to students who have distinguished themselves at the 400 level and have the permission of the department.",
FR553HO,"SCIENCE, TECHNOLOGY, AND ESTHETICS, HONORS",Spring term,1,Spring term; 1 course credit,,,False,,"This course explores science, technology, and questions of esthetics in the French-speaking world. Students will research impactful discoveries and inventions, making informed predictions on future technological developments and examining moral dilemmas implicit in progress. Esthetics of visual arts, music, literature, and architecture are examined, building lexicon and a sense of historical factors playing into modern tastes. Students may create original short films, music videos, short stories, and paintings or drawings to illustrate their understanding of evolving standards and esthetics. Open to students who have distinguished themselves at the 400 level and have the permission of the department. SPECIAL TOPICS IN FRENCH Beyond our fifth-year courses, we offer a unique opportunity for students and teachers to collaborate in one of several realms — cultural, literary, political, or linguistic. These courses address special topics from the French and Francophone worlds using a variety of genres (from websites to films to books) and, in so doing, aim to further refine students’ oral and written expression and thinking in French. Close readings in the tradition of the explication de texte, along with analyses of critical essays and oral exposés, are expected of each student. These courses may be taken as a year-long sequence or individually as term electives. They are not required to be taken in sequential order.",
FR652HO,"FRENCH THEATER AND ACTING, HONORS",Winter term,1,Winter term; 1 course credit,Offered in alternate years; available in 2026-2027,,False,,"Theater reflects society’s passions, fears, and aspirations; it is a living creation, alternately embracing and abandoning the written word in an insatiable quest to capture fleeting realities and define the human spirit. This course explores theatrical works and critical texts from the 17th century to the present, questioning evolving artistic and cultural values, dramaturgy, production aesthetics, and acting techniques, to culminate in student written, directed, and acted scenes reflecting modern society through the aesthetic confines of the neoclassical, romanticist, existentialist, and absurdist genres. Works include: Ryngaert’s Introduction à l’analyse du théâtre, Naugrette’s L’esthétique théâtrale, and Héril’s Entraînement théâtral pour les adolescents: A partir de quinze ans, as well as the theatrical writings of Corneille, Molière, Racine, Marivaux, Beaumarchais, de Musset, Hugo, Stendhal, Zola, Guitry, Genêt, Sartre, Artaud, Beckett, Ionesco, and Serrault. Open to students who have completed the 500 level courses or have distinguished themselves in the FR451HO-FR453HO sequence and have the permission of the department.",
FR653HO,"LA VIE EN VERT: LANDSCAPES OF POWER AND IDENTITY, HONORS",Fall term,1,Fall term; 1 course credit,Offered in alternate years; available in 2026-2027,,False,,"For centuries, the built environment, while a space of visual delight and leisure activity, has also been wielded as a tool for the development of political iconography, national identity, and later utilized as a method of colonization. This course will explore the critical role that gardens and landscape architecture played in the shaping of France’s cultural identity. We will begin our inquiries by studying the traditions of magnificence surrounding the courts of Louis XIV in 17th-century France. Students will then direct their attention to the ways in which landscape principles from other countries were translated into the French garden in the 18th century and used as signifiers of wealth, status, and of individual and collective identities. Further, we will investigate the democratization of several Parisian green spaces in the 19th century, and, in light of contemporary climate issues, the recentering of urban green spaces in Francophone cities as sustainable landscapes. Open to students who have completed the 500 level courses or have the permission of the department. POÉSIE DE LANGUE FRANÇAISE, HONORS",
